rank	gene	degree
669	ENSMUSG00002074955	89
670	ENSMUSG00000020893	89
671	ENSMUSG00000064563	89
672	ENSMUSG00000052305	89
673	ENSMUSG00000121280	89
674	ENSMUSG00000023120	89
675	ENSMUSG00000121655	88
676	ENSMUSG00000061742	88
677	ENSMUSG00000061353	88
678	ENSMUSG00000039463	88
679	ENSMUSG00000043168	88
680	ENSMUSG00000068263	88
681	ENSMUSG00000020027	88
682	ENSMUSG00000079553	88
683	ENSMUSG00000025270	88
684	ENSMUSG00000034771	88
685	ENSMUSG00000032348	88
686	ENSMUSG00000046794	88
687	ENSMUSG00000116097	88
688	ENSMUSG00000035828	88
689	ENSMUSG00000019944	88
690	ENSMUSG00000088088	88
691	ENSMUSG00000030737	88
692	ENSMUSG00000002831	88
693	ENSMUSG00000044674	88
694	ENSMUSG00000022383	88
695	ENSMUSG00000065653	88
696	ENSMUSG00000056755	88
697	ENSMUSG00000022425	88
698	ENSMUSG00000067455	88
699	ENSMUSG00000037754	88
700	ENSMUSG00000031825	88
701	ENSMUSG00000021390	88
702	ENSMUSG00000004105	87
703	ENSMUSG00000119577	87
704	ENSMUSG00000109429	87
705	ENSMUSG00000042807	87
706	ENSMUSG00000001119	87
707	ENSMUSG00000032085	87
708	ENSMUSG00000024552	87
709	ENSMUSG00000048997	87
710	ENSMUSG00000033860	87
711	ENSMUSG00000069874	87
712	ENSMUSG00000029661	87
713	ENSMUSG00000060924	87
714	ENSMUSG00000039438	87
715	ENSMUSG00000067719	87
716	ENSMUSG00000028108	87
717	ENSMUSG00000001473	87
718	ENSMUSG00000064427	87
719	ENSMUSG00000121069	87
720	ENSMUSG00000029193	87
721	ENSMUSG00000065725	87
722	ENSMUSG00000102594	87
723	ENSMUSG00000104339	87
724	ENSMUSG00000040693	87
725	ENSMUSG00000024818	87
726	ENSMUSG00000027848	87
727	ENSMUSG00000033960	87
728	ENSMUSG00000120604	87
729	ENSMUSG00000048636	87
730	ENSMUSG00000069265	87
731	ENSMUSG00000028364	87
732	ENSMUSG00000103593	87
733	ENSMUSG00000004988	87
734	ENSMUSG00000108884	87
735	ENSMUSG00000118815	87
736	ENSMUSG00000041895	87
737	ENSMUSG00000023243	86
738	ENSMUSG00000031770	86
739	ENSMUSG00000031465	86
740	ENSMUSG00000034456	86
741	ENSMUSG00000021565	86
742	ENSMUSG00000102145	86
743	ENSMUSG00000031294	86
744	ENSMUSG00000063382	86
745	ENSMUSG00000053303	86
746	ENSMUSG00000104030	86
747	ENSMUSG00000034825	86
748	ENSMUSG00000051331	86
